name,publisher,platforms,num_platforms,year_released,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
Agatha Christie: Evil Under the Sun,The Adventure Company,"[""Wii""]",1,2008,Adventure,0.06,0.01,0,0.01,0.08,46,6,7.3,6,AWE Games,T
Agatha Christie's The ABC Murders,Microids,"[""XOne"", ""PS4""]",2,2016,Adventure,0.02,0.01,0,0,0.04,66.5,24,6.85,20,Microids,T
Agatha Christie: The ABC Murders,JoWood Productions,"[""PC"", ""DS""]",2,2009,Adventure,0.08,0.03,0,0.01,0.12000000000000001,59.5,26,7.5,148,Artefacts Studio,T
Age of Conan: Rise of the Godslayer,Funcom,"[""PC""]",1,2010,Role-Playing,0,0.02,0,0,0.03,83,14,8.4,52,Funcom,M
Age of Empires III,Microsoft Game Studios,"[""PC""]",1,2005,Strategy,0,0.33,0,0.05,0.38,81,52,7.7,519,Ensemble Studios,T
Age of Empires III: The Asian Dynasties,Microsoft Game Studios,"[""PC""]",1,2007,Strategy,0,0.05,0,0.01,0.06,81,19,8.5,71,Big Huge Games,T
Age of Empires II: The Age of Kings,Microsoft Game Studios,"[""PC""]",1,1999,Strategy,0.01,0.08,0,0.01,0.09,92,21,9,801,Ensemble Studios,T
Age of Empires: Mythologies,THQ,"[""DS""]",1,2008,Strategy,0.16,0.03,0,0.02,0.21,78,28,6.9,20,Griptonite Games,E10+
Age of Empires Online,Microsoft Game Studios,"[""PC""]",1,2011,Strategy,0.01,0.04,0,0.01,0.06,70,44,5.6,186,Gas Powered Games,E10+
Age of Empires: The Age of Kings,THQ,"[""DS""]",1,2006,Strategy,0.18,0.02,0,0.02,0.22,80,38,7.9,59,Backbone Entertainment,E10+
Age of Mythology,Microsoft Game Studios,"[""PC""]",1,2002,Strategy,0.02,0.06,0,0.01,0.09,89,31,8.9,484,Ensemble Studios,T
Age of Mythology: The Titans,Microsoft Game Studios,"[""PC""]",1,2003,Strategy,0.02,0.02,0,0,0.04,84,25,8.7,119,Ensemble Studios,T
Aggressive Inline,Acclaim Entertainment,"[""XB"", ""GC"", ""PS2""]",3,2002,Sports,0.26,0.15,0,0.04,0.47,86,67,8.066666666666666,26,"Z-Axis, Ltd.",T
Airblade,Sony Computer Entertainment,"[""PS2""]",1,2001,Sports,0.11,0.09,0,0.03,0.23,70,18,5.8,12,Criterion Games,T
Airborne Troops: Countdown to D-Day,Playlogic Game Factory,"[""PS2""]",1,2005,Shooter,0.06,0.05,0,0.02,0.12,39,4,8.1,9,WideScreen Games,T
Air Conflicts: Secret Wars,bitComposer Games,"[""PC""]",1,2011,Simulation,0,0.02,0,0.01,0.03,65,5,6.4,24,Games Farm,T
AirForce Delta Storm,Konami Digital Entertainment,"[""XB""]",1,2001,Shooter,0.14,0.04,0,0.01,0.18,61,21,7.1,7,KCE Studios,E
AirForce Delta Strike,Konami Digital Entertainment,"[""PS2""]",1,2004,Simulation,0.05,0.04,0,0.01,0.11,66,22,7,6,KCE Studios,T
Airline Tycoon 2,Kalypso Media,"[""PC""]",1,2011,Simulation,0,0.04,0,0.01,0.05,57,4,5.5,30,Kalypso,E
Alan Wake,Microsoft Game Studios,"[""X360"", ""PC""]",2,2010,Action,0.66,0.56,0.05,0.14,1.3900000000000001,83,130,8.05,2629,Remedy Entertainment,T
Alex Rider: Stormbreaker,THQ,"[""DS""]",1,,Action,0.06,0,0,0,0.07,48,11,6.1,10,Altron,T
Alias,Acclaim Entertainment,"[""PS2"", ""XB""]",2,2004,Action,0.09,0.05,0,0.01,0.16,64,68,7,14,Acclaim Studios Cheltenham,T
Alice in Wonderland,Disney Interactive Studios,"[""Wii""]",1,2010,Adventure,0.25,0.21,0,0.05,0.51,69,18,7.4,13,Etranges Libellules,E10+
Alice: Madness Returns,Electronic Arts,"[""PS3"", ""X360"", ""PC""]",3,2011,Adventure,0.49,0.48,0.08,0.13999999999999999,1.2000000000000002,71.66666666666667,147,8.133333333333333,897,Spicy Horse,M
Alien Hominid,O3 Entertainment,"[""PS2"", ""GC""]",2,2004,Shooter,0.12000000000000001,0.06,0,0.01,0.19,78,75,8.4,28,The Behemoth,T
Alien: Isolation,Sega,"[""PS4"", ""XOne"", ""PC""]",3,2014,Shooter,0.56,0.95,0.04,0.22000000000000003,1.7799999999999998,79.33333333333333,115,8.1,2697,Creative Assembly,M
